D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_123.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_123.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_123.jpg, 0, 0, 0, 8.033852E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_228.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_228.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_228.jpg, 0, 0, 0, 8.138065E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_331.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_331.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_331.jpg, 0, 0, 0, 8.050961E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_432.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_432.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_432.jpg, 0, 0, 0, 7.819897E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_532.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_532.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_532.jpg, 0, 0, 0, 7.933989E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_636.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_636.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_636.jpg, 0, 0, 0, 7.863987E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_739.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_739.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_739.jpg, 0, 0, 0, 7.824332E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_844.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_844.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_844.jpg, 0, 0, 0, 7.845338E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_31_944.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_31_944.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_31_944.jpg, 0, 0, 0, 7.877364E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_048.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_048.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_048.jpg, 0, 0, 0, 7.971406E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_149.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_149.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_149.jpg, 0, 0, 0, 7.809827E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_250.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_250.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_250.jpg, 0, 0, 0, 7.762219E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_618.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_618.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_618.jpg, 0, 0, 0, 8.037535E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_722.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_722.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_722.jpg, 0, 0, 0, 7.829688E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_824.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_824.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_824.jpg, 0, 0, 0, 7.819201E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_32_923.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_32_923.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_32_923.jpg, 0, 0, 0, 7.840169E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_33_029.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_33_029.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_33_029.jpg, 0, 0, 0, 8.223872E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_33_131.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_33_131.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_33_131.jpg, 0, 0, 0, 7.807596E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_33_233.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_33_233.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_33_233.jpg, 0, 0, 0, 7.91577E-05
D:\simulator-windows-64\IMG\center_2023_05_05_18_30_33_333.jpg, D:\simulator-windows-64\IMG\left_2023_05_05_18_30_33_333.jpg, D:\simulator-windows-64\IMG\right_2023_05_05_18_30_33_333.jpg, 0, 0, 0, 8.110826E-05
